ISBN,Book-Title,Book-Author,Year-Of-Publication,Image-URL-L,pagesNumber,Rating
1575843366,What Shall I Be (Barbie Carryalong),Rita Chapman Works,1999,http://images.amazon.com/images/P/1575843366.01.LZZZZZZZ.jpg,20,3.5
1573228737,Affinity,Sarah Waters,2002,http://images.amazon.com/images/P/1573228737.01.LZZZZZZZ.jpg,352,3.74
067153484X,The Music Box,Andrea Kane,1998,http://images.amazon.com/images/P/067153484X.01.LZZZZZZZ.jpg,402,3.53
8484509141,Mientras Escribo,Stephen King,2002,http://images.amazon.com/images/P/8484509141.01.LZZZZZZZ.jpg,318,4.33
1559703237,Trying to Save Piggy Sneed,John Irving,1996,http://images.amazon.com/images/P/1559703237.01.LZZZZZZZ.jpg,432,3.36
067103619X,Lake News,Barbara Delinsky,2000,http://images.amazon.com/images/P/067103619X.01.LZZZZZZZ.jpg,544,3.85
156718796X,Astral Travel for Beginners (For Beginners),Richard Webster,1998,http://images.amazon.com/images/P/156718796X.01.LZZZZZZZ.jpg,256,3.81
1862047626,New Perspectives: Runes,Bernard King,2000,http://images.amazon.com/images/P/1862047626.01.LZZZZZZZ.jpg,128,2.73
006101351X,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998,http://images.amazon.com/images/P/006101351X.01.LZZZZZZZ.jpg,301,4.09
039456894X,Impossible Vacation,Spalding Gray,1992,http://images.amazon.com/images/P/039456894X.01.LZZZZZZZ.jpg,228,3.74
1573225126,Prozac Nation: Young and Depressed in America : A Memoir,Elizabeth Wurtzel,1997,http://images.amazon.com/images/P/1573225126.01.LZZZZZZZ.jpg,368,3.6
1579651658,The Journey From Here,Bill Bradley,2000,http://images.amazon.com/images/P/1579651658.01.LZZZZZZZ.jpg,168,4.12
1878424319,The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997,http://images.amazon.com/images/P/1878424319.01.LZZZZZZZ.jpg,140,4.16
8478097732,GrÃ cies per la propina (Columna),Ferran Torrent,1995,http://images.amazon.com/images/P/8478097732.01.LZZZZZZZ.jpg,223,3.35
044021145X,The Firm,John Grisham,1992,http://images.amazon.com/images/P/044021145X.01.LZZZZZZZ.jpg,501,4.06
074345829X,Philip Jose Farmer's The Dungeon,Richard A. Lupoff,2003,http://images.amazon.com/images/P/074345829X.01.LZZZZZZZ.jpg,704,3.76
1569471096,Was It Something I Said?,Valerie Block,1998,http://images.amazon.com/images/P/1569471096.01.LZZZZZZZ.jpg,359,2.8
055358099X,Cloud Nine,Luanne Rice,2000,http://images.amazon.com/images/P/055358099X.01.LZZZZZZZ.jpg,400,3.96
039914739X,Isle of Dogs,Patricia Daniels Cornwell,2001,http://images.amazon.com/images/P/039914739X.01.LZZZZZZZ.jpg,421,3.13
051762639X,Barchester Towers (Oxford Pocket Classics),Anthony Trollope,1986,http://images.amazon.com/images/P/051762639X.01.LZZZZZZZ.jpg,506,4.01
081296666X,Things My Girlfriend and I Have Argued About: A Novel,Mil Millington,2003,http://images.amazon.com/images/P/081296666X.01.LZZZZZZZ.jpg,384,3.68
1877727083,Vertical Poetry: Recent Poems,Roberto Juarroz,1992,http://images.amazon.com/images/P/1877727083.01.LZZZZZZZ.jpg,117,4.51
8845229041,Biblioteca Universale Rizzoli: Sulla Sponda Del Fiume Piedra,P Coelho,0,http://images.amazon.com/images/P/8845229041.01.LZZZZZZZ.jpg,216,3.5700000000000003
887641486X,I Giorni Dell'abbandono,Elena Ferrante,2002,http://images.amazon.com/images/P/887641486X.01.LZZZZZZZ.jpg,213,3.86
080521061X,Montessori Today: A Comprehensive Approach to Education from Birth to Adulthood,Paula Polk Lillard,1996,http://images.amazon.com/images/P/080521061X.01.LZZZZZZZ.jpg,240,3.93
080213825X,Four Blondes,Candace Bushnell,2001,http://images.amazon.com/images/P/080213825X.01.LZZZZZZZ.jpg,256,2.8200000000000003
055356451X,Night Sins,TAMI HOAG,1995,http://images.amazon.com/images/P/055356451X.01.LZZZZZZZ.jpg,541,3.96
042517736X,Abduction,Robin Cook,2000,http://images.amazon.com/images/P/042517736X.01.LZZZZZZZ.jpg,404,3.49
038549825X,Not a Day Goes By : A Novel,E. LYNN HARRIS,2001,http://images.amazon.com/images/P/038549825X.01.LZZZZZZZ.jpg,276,4.31
067170124X,HIS LITTLE WOMEN : HIS LITTLE WOMEN,Judith Rossner,1991,http://images.amazon.com/images/P/067170124X.01.LZZZZZZZ.jpg,435,2.7
006017143X,The Night Listener,Armistead Maupin,2000,http://images.amazon.com/images/P/006017143X.01.LZZZZZZZ.jpg,344,3.65
193072229X,MoveOn's 50 Ways to Love Your Country: How to Find Your Political Voice and Become a Catalyst for Change,Moveon,2004,http://images.amazon.com/images/P/193072229X.01.LZZZZZZZ.jpg,144,3.65
1400077826,Cold Mountain (MTI) (Vintage Contemporaries),CHARLES FRAZIER,2003,http://images.amazon.com/images/P/1400077826.01.LZZZZZZZ.jpg,449,3.86
068484267X,Angela's Ashes: A Memoir,Frank McCourt,1999,http://images.amazon.com/images/P/068484267X.01.LZZZZZZZ.jpg,368,4.11
080411952X,The Unsung Hero,Suzanne Brockmann,2000,http://images.amazon.com/images/P/080411952X.01.LZZZZZZZ.jpg,392,4.05
006015781X,Why Do Clocks Run Clockwise? and Other Imponderables: Mysteries of Everyday Life Explained,David Feldman,1987,http://images.amazon.com/images/P/006015781X.01.LZZZZZZZ.jpg,251,3.65
1573229148,Crossing the Unknown Sea: Work As a Pilgrimage of Identity,David Whyte,2002,http://images.amazon.com/images/P/1573229148.01.LZZZZZZZ.jpg,272,4.26
1576737357,Diary of a Teenage Girl - Becoming Me : Diary Number 1 (Diary of a Teenage Girl),Melody Carlson,2000,http://images.amazon.com/images/P/1576737357.01.LZZZZZZZ.jpg,256,3.92
193156146X,The Time Traveler's Wife,Audrey Niffenegger,2003,http://images.amazon.com/images/P/193156146X.01.LZZZZZZZ.jpg,522,3.97
015600710X,Strange Fits of Passion: A Novel,Anita Shreve,1999,http://images.amazon.com/images/P/015600710X.01.LZZZZZZZ.jpg,342,3.77
2253004022,Regain,Jean Giono,1987,http://images.amazon.com/images/P/2253004022.01.LZZZZZZZ.jpg,175,3.85
225300670X,A l'Ouest rien de nouveau,Erich Maria Remarque,1973,http://images.amazon.com/images/P/225300670X.01.LZZZZZZZ.jpg,253,3.97
2266029460,Voyage d'une parisienne Ã?Â  Lhassa,Alexandra David-NÃ?Â©el,1989,http://images.amazon.com/images/P/2266029460.01.LZZZZZZZ.jpg,384,3.99
2070417743,Chroniques martiennes,Ray Bradbury,2002,http://images.amazon.com/images/P/2070417743.01.LZZZZZZZ.jpg,336,4.14
2290314951,Paroles de Poilus : Lettres et carnets du front 1914-1918,Collectif,2001,http://images.amazon.com/images/P/2290314951.01.LZZZZZZZ.jpg,186,3.74
229000510X,Une porte sur l'Ã?Â©tÃ?Â©,Robert A. Heinlein,1999,http://images.amazon.com/images/P/229000510X.01.LZZZZZZZ.jpg,189,4.01
3492207006,Die Entdeckung der Langsamkeit.,Sten Nadolny,1987,http://images.amazon.com/images/P/3492207006.01.LZZZZZZZ.jpg,358,3.95
1570717257,Man and Boy,Tony Parsons,2001,http://images.amazon.com/images/P/1570717257.01.LZZZZZZZ.jpg,353,3.5700000000000003
052594463X,All of Me: A Voluptuous Tale,Venise T. Berry,2000,http://images.amazon.com/images/P/052594463X.01.LZZZZZZZ.jpg,288,3.76
039304016X,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,http://images.amazon.com/images/P/039304016X.01.LZZZZZZZ.jpg,227,4.09
2253148539,Le Loup-garou,Boris Vian,1999,http://images.amazon.com/images/P/2253148539.01.LZZZZZZZ.jpg,177,3.87
2253043974,Chronique d'une mort annoncÃ?Â©e,Gabriel Garcia Marquez,1987,http://images.amazon.com/images/P/2253043974.01.LZZZZZZZ.jpg,116,3.97
185479549X,The World's Stupidest Laws,David Crombie,2000,http://images.amazon.com/images/P/185479549X.01.LZZZZZZZ.jpg,128,3.14
1858813093,Nessie: The Loch Ness Monster,Richard Brassey,2003,http://images.amazon.com/images/P/1858813093.01.LZZZZZZZ.jpg,24,3.98
1842151053,Cooking for One (Cook's Essentials),Valerie Ferguson,2000,http://images.amazon.com/images/P/1842151053.01.LZZZZZZZ.jpg,64,4.5
2264009306,CantilÃ¨nes en gelÃ©e ; Barnum's digest ; Vingt poÃ¨mes inÃ©dits (10/18 [i.e. Dix/dix-huit] ; 517),Boris Vian,1978,http://images.amazon.com/images/P/2264009306.01.LZZZZZZZ.jpg,124,3.75
1841952931,Glasgow Zen,Alan Spence,2002,http://images.amazon.com/images/P/1841952931.01.LZZZZZZZ.jpg,235,4.06
156341029X,Stone Butch Blues,Leslie Feinberg,1993,http://images.amazon.com/images/P/156341029X.01.LZZZZZZZ.jpg,301,4.33
1886383421,Fires of Aggar,Chris Anne Wolfe,2001,http://images.amazon.com/images/P/1886383421.01.LZZZZZZZ.jpg,390,4.05
1888451084,Kamikaze Lust,Lauren Sanders,2000,http://images.amazon.com/images/P/1888451084.01.LZZZZZZZ.jpg,287,3.27
1555835953,Witchfire,Lauren Maddison,2001,http://images.amazon.com/images/P/1555835953.01.LZZZZZZZ.jpg,401,3.93
1555834531,Hood,Emma Donoghue,1998,http://images.amazon.com/images/P/1555834531.01.LZZZZZZZ.jpg,309,3.6
1563411148,The Second Coming of Curly Red,Jody Seay,1999,http://images.amazon.com/images/P/1563411148.01.LZZZZZZZ.jpg,272,4.22
1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,http://images.amazon.com/images/P/1573229571.01.LZZZZZZZ.jpg,307,3.8
039914370X,Sudden Mischief (Spenser Mysteries (Hardcover)),Robert B. Parker,1998,http://images.amazon.com/images/P/039914370X.01.LZZZZZZZ.jpg,288,3.91
1884777805,Elements of Programming With Perl,Andrew L. Johnson,1999,http://images.amazon.com/images/P/1884777805.01.LZZZZZZZ.jpg,362,4.0
039457513X,Billy Bathgate,E. L. Doctorow,1989,http://images.amazon.com/images/P/039457513X.01.LZZZZZZZ.jpg,323,3.79
015216250X,So You Want to Be a Wizard: The First Book in the Young Wizards Series,Diane Duane,2001,http://images.amazon.com/images/P/015216250X.01.LZZZZZZZ.jpg,386,3.83
068983585X,The Janitor's Boy,Andrew Clements,2001,http://images.amazon.com/images/P/068983585X.01.LZZZZZZZ.jpg,140,3.75
185424597X,The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,Paul Hattaway,2003,http://images.amazon.com/images/P/185424597X.01.LZZZZZZZ.jpg,352,4.35
080901582X,The Return of Simple,Langston Hughes,1995,http://images.amazon.com/images/P/080901582X.01.LZZZZZZZ.jpg,218,4.3
039914563X,The Bear and the Dragon,Tom Clancy,2000,http://images.amazon.com/images/P/039914563X.01.LZZZZZZZ.jpg,1028,3.83
039914563X,The Bear and the Dragon,Tom Clancy,2000,http://images.amazon.com/images/P/039914563X.01.LZZZZZZZ.jpg,1028,3.83
1928791107,The Mp3 and Internet Audio Handbook: Your Guide to the Digital Music Revolution,Bruce Fries,2000,http://images.amazon.com/images/P/1928791107.01.LZZZZZZZ.jpg,320,2.25
1558505377,Jacob Marley's Christmas Carol,Tom Mula,1995,http://images.amazon.com/images/P/1558505377.01.LZZZZZZZ.jpg,116,3.88
1551668785,Final Stand,Helen Myers,2002,http://images.amazon.com/images/P/1551668785.01.LZZZZZZZ.jpg,384,3.33
044132231X,Heathcliff Gone Fishing,George Gately,1985,http://images.amazon.com/images/P/044132231X.01.LZZZZZZZ.jpg,128,3.92
014036336X,The House With a Clock in Its Walls,John Bellairs,1993,http://images.amazon.com/images/P/014036336X.01.LZZZZZZZ.jpg,192,3.76
1585007366,Sang Froyd (Balona Books),Jonathan Pearce,1999,http://images.amazon.com/images/P/1585007366.01.LZZZZZZZ.jpg,220,0.0
034538184X,Degree of Guilt,Richard North Patterson,1995,http://images.amazon.com/images/P/034538184X.01.LZZZZZZZ.jpg,534,4.01
055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,http://images.amazon.com/images/P/055321313X.01.LZZZZZZZ.jpg,308,4.26
1590520777,A Life God Rewards for Teens (The Breakthrough Series),Bruce Wilkinson,2002,http://images.amazon.com/images/P/1590520777.01.LZZZZZZZ.jpg,96,3.53
1551662744,White Lies,Linda Howard,1997,http://images.amazon.com/images/P/1551662744.01.LZZZZZZZ.jpg,250,3.96
039592720X,Interpreter of Maladies,Jhumpa Lahiri,1999,http://images.amazon.com/images/P/039592720X.01.LZZZZZZZ.jpg,198,4.15
1859671500,Glorious Country: Food Crafts Decorating,Liz Trigg,1995,http://images.amazon.com/images/P/1859671500.01.LZZZZZZZ.jpg,256,2.5
038001503X,One Hundred Years of Solitude,Gabriel Garcia Marquez,1970,http://images.amazon.com/images/P/038001503X.01.LZZZZZZZ.jpg,383,4.08
158574218X,Common Phrases: And Where They Come From,John Mordock,2001,http://images.amazon.com/images/P/158574218X.01.LZZZZZZZ.jpg,224,2.86
1590520653,The Grace and Truth Paradox: Responding with Christlike Balance,Randy Alcorn,2003,http://images.amazon.com/images/P/1590520653.01.LZZZZZZZ.jpg,96,4.38
1590521994,The Best Thing I Ever Did for My Marriage : 50 Real Life Stories,Nancy Cobb,2003,http://images.amazon.com/images/P/1590521994.01.LZZZZZZZ.jpg,272,3.79
3446202218,Kreutzersonate. Eine Liebesgeschichte,Margriet de Moor,2002,http://images.amazon.com/images/P/3446202218.01.LZZZZZZZ.jpg,144,3.12
006019491X,Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Isabel Allende,1999,http://images.amazon.com/images/P/006019491X.01.LZZZZZZZ.jpg,399,3.91
034545829X,Waking Up Screaming: Haunting Tales of Terror,H. P. Lovecraft,2003,http://images.amazon.com/images/P/034545829X.01.LZZZZZZZ.jpg,370,4.11
015644450X,In Love &amp; Trouble: Stories of Black Women,Alice Walker,1974,http://images.amazon.com/images/P/015644450X.01.LZZZZZZZ.jpg,156,4.07
3499108518,Der Fanger Im Roggen,Jerome D. Salinger,1966,http://images.amazon.com/images/P/3499108518.01.LZZZZZZZ.jpg,208,3.8
3453199766,Vielleicht lieber morgen.,Stephen Chbosky,2001,http://images.amazon.com/images/P/3453199766.01.LZZZZZZZ.jpg,239,4.2
3453132262,Die Wolfsfrau. Die Kraft der weiblichen Urinstinkte.,Clarissa Pinkola Estes,1997,http://images.amazon.com/images/P/3453132262.01.LZZZZZZZ.jpg,560,4.11
2264030542,Retour Ã?Â  Brooklyn,Hubert Selby,1999,http://images.amazon.com/images/P/2264030542.01.LZZZZZZZ.jpg,303,3.93
044100962X,Myth-Ion Improbable (Myth Books),Robert Asprin,2002,http://images.amazon.com/images/P/044100962X.01.LZZZZZZZ.jpg,198,3.79
1895383129,Kriya Yoga Sutras of Patanjali and the Siddhas,Georg Feverstein,2001,http://images.amazon.com/images/P/1895383129.01.LZZZZZZZ.jpg,287,3.9
067163884X,THIS HALLOWED GRND,Bruce Catton,1986,http://images.amazon.com/images/P/067163884X.01.LZZZZZZZ.jpg,559,4.33
067168390X,Lonesome Dove,Larry McMurtry,1988,http://images.amazon.com/images/P/067168390X.01.LZZZZZZZ.jpg,945,4.49
051513399X,Smoke in Mirrors,Jayne Ann Krentz,2002,http://images.amazon.com/images/P/051513399X.01.LZZZZZZZ.jpg,358,3.96
1569471800,The Distance Between,Eliza Osborne,2000,http://images.amazon.com/images/P/1569471800.01.LZZZZZZZ.jpg,212,3.15
1570362084,The Best of Larry King Live: The Greatest Interviews,Larry King,1995,http://images.amazon.com/images/P/1570362084.01.LZZZZZZZ.jpg,378,3.62
000636988X,How Not to Be a Perfect Mother: The Crafty Mother's Guide to a Quiet Life (How Not to),Libby Purves,1986,http://images.amazon.com/images/P/000636988X.01.LZZZZZZZ.jpg,192,3.58
1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,http://images.amazon.com/images/P/1400034779.01.LZZZZZZZ.jpg,235,3.78
038533303X,Driving Mr. Albert: A Trip Across America With Einstein's Brain,Michael Paterniti,2001,http://images.amazon.com/images/P/038533303X.01.LZZZZZZZ.jpg,211,3.35
1558506454,Museum of Science Book of Answers &amp; Questions,Ann Rae Jonas,1996,http://images.amazon.com/images/P/1558506454.01.LZZZZZZZ.jpg,256,4.0
1558744606,Chicken Soup for the Mother's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1997,http://images.amazon.com/images/P/1558744606.01.LZZZZZZZ.jpg,352,4.11
080410753X,The Kitchen God's Wife,Amy Tan,1992,http://images.amazon.com/images/P/080410753X.01.LZZZZZZZ.jpg,532,4.01
044023767X,Teen Angst? Naaah . . . A Quasi-autobiography,Ned Vizzini,2002,http://images.amazon.com/images/P/044023767X.01.LZZZZZZZ.jpg,279,3.9
014131088X,Speak,Laurie Halse Anderson,2001,http://images.amazon.com/images/P/014131088X.01.LZZZZZZZ.jpg,202,4.02
043909013X,Kerosene,Chris Wooding,2002,http://images.amazon.com/images/P/043909013X.01.LZZZZZZZ.jpg,208,3.64
155643152X,The Second Coming of Science: An Intimate Report on the New Science,Brian O'Leary,1992,http://images.amazon.com/images/P/155643152X.01.LZZZZZZZ.jpg,168,0.0
3821807059,Herr Lehmann. Ein Roman.,Sven Regener,2001,http://images.amazon.com/images/P/3821807059.01.LZZZZZZZ.jpg,300,3.87
031227999X,Emotionally Weird: A Novel,Kate Atkinson,2001,http://images.amazon.com/images/P/031227999X.01.LZZZZZZZ.jpg,368,3.45
031298250X,America : A Jake Grafton Novel (A Jake Grafton Novel),Stephen Coonts,2002,http://images.amazon.com/images/P/031298250X.01.LZZZZZZZ.jpg,400,4.04
006109594X,Nimitz Class,Patrick Robinson,1998,http://images.amazon.com/images/P/006109594X.01.LZZZZZZZ.jpg,487,3.92
2894850743,Un retour simple: Roman,Raymond Cloutier,1998,http://images.amazon.com/images/P/2894850743.01.LZZZZZZZ.jpg,195,3.0
1400062888,Obliviously On He Sails : The Bush Administration in Rhyme,CALVIN TRILLIN,2004,http://images.amazon.com/images/P/1400062888.01.LZZZZZZZ.jpg,128,3.85
1931520038,The Mount: A Novel,Carol Emshwiller,2002,http://images.amazon.com/images/P/1931520038.01.LZZZZZZZ.jpg,242,3.67
1558612815,Allegra Maud Goldman,Edith Konecky,2001,http://images.amazon.com/images/P/1558612815.01.LZZZZZZZ.jpg,288,4.15
014025448X,At Home in Mitford (The Mitford Years),Jan Karon,1996,http://images.amazon.com/images/P/014025448X.01.LZZZZZZZ.jpg,446,4.12
8481301132,El Gran Gatsby,F.Scott Fitzgerald,2001,http://images.amazon.com/images/P/8481301132.01.LZZZZZZZ.jpg,192,3.92
006101253X,Sinners,Jackie Collins,1997,http://images.amazon.com/images/P/006101253X.01.LZZZZZZZ.jpg,336,3.74
038533656X,Apocalipstick,SUE MARGOLIS,2003,http://images.amazon.com/images/P/038533656X.01.LZZZZZZZ.jpg,310,3.42
3453151933,Tom Clancys Power Plays 2. Tigerjagd.,Tom Clancy,1999,http://images.amazon.com/images/P/3453151933.01.LZZZZZZZ.jpg,352,3.74
014056232X,Way Out West Lives a Coyote Named Frank (Picture Puffins),Jillian Lund,1997,http://images.amazon.com/images/P/014056232X.01.LZZZZZZZ.jpg,32,3.73
1583140352,Return to Love (Arabesque),Viveca Carlysle,1999,http://images.amazon.com/images/P/1583140352.01.LZZZZZZZ.jpg,246,3.75
037348397X,The Donovan Legacy,Nora Roberts,1999,http://images.amazon.com/images/P/037348397X.01.LZZZZZZZ.jpg,384,4.23
2070417700,Deus Irae,Philip Kindred Dick,2001,http://images.amazon.com/images/P/2070417700.01.LZZZZZZZ.jpg,255,3.45
2266128566,Le Meilleur des mondes,Aldous Huxley,2002,http://images.amazon.com/images/P/2266128566.01.LZZZZZZZ.jpg,285,3.99
2207252000,La Maison des feuilles,Mark Z. Danielewski,2002,http://images.amazon.com/images/P/2207252000.01.LZZZZZZZ.jpg,978,4.1
2266000489,La Nuit Des Temps,Rene Barjavel,0,http://images.amazon.com/images/P/2266000489.01.LZZZZZZZ.jpg,381,4.12
2253004898,Guerre De Troie N'Aura Pas Lieu,Jean Giraudoux,2001,http://images.amazon.com/images/P/2253004898.01.LZZZZZZZ.jpg,185,3.84
082176828X,What You Wish for,Fern Michaels,2001,http://images.amazon.com/images/P/082176828X.01.LZZZZZZZ.jpg,351,3.95
1558534245,Sailing on the Ice: And Other Stories from the Old Squire's Farm,C. A. Stephens,1996,http://images.amazon.com/images/P/1558534245.01.LZZZZZZZ.jpg,377,4.62
1860462995,The Swan: A Novel,Sebastiano Vassalli,1998,http://images.amazon.com/images/P/1860462995.01.LZZZZZZZ.jpg,180,3.48
031231616X,I Capture the Castle,Dodie Smith,2003,http://images.amazon.com/images/P/031231616X.01.LZZZZZZZ.jpg,343,4.0
089480829X,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996,http://images.amazon.com/images/P/089480829X.01.LZZZZZZZ.jpg,479,3.78
1551669501,Diamond Spur,Diana Palmer,2002,http://images.amazon.com/images/P/1551669501.01.LZZZZZZZ.jpg,416,3.93
037348285X,Birds Bees And Babies 1994,Nora Roberts,1994,http://images.amazon.com/images/P/037348285X.01.LZZZZZZZ.jpg,378,3.79
881787017X,Senza Sangue,Alessandro Baricco,2002,http://images.amazon.com/images/P/881787017X.01.LZZZZZZZ.jpg,107,3.53
1931646384,Never Act Your Age: Play the Happy Childlike Role Well at Every Age,Dale L. Anderson,2002,http://images.amazon.com/images/P/1931646384.01.LZZZZZZZ.jpg,128,5.0
157566559X,The Biograph Girl,William J. Mann,2000,http://images.amazon.com/images/P/157566559X.01.LZZZZZZZ.jpg,457,3.63
034543076X,Manifold: Time (Manifold (Paperback)),Stephen Baxter,2000,http://images.amazon.com/images/P/034543076X.01.LZZZZZZZ.jpg,480,3.76
037542217X,The Kalahari Typing School for Men : More from the No. 1 Ladies' Detective Agency,Alexander McCall Smith,2003,http://images.amazon.com/images/P/037542217X.01.LZZZZZZZ.jpg,186,4.0
1555973981,Baby B,Michael Ryan,2004,http://images.amazon.com/images/P/1555973981.01.LZZZZZZZ.jpg,170,3.81
089587198X,Great Bike Rides in and Around Winston-Salem,Judi Lawson Wallace,2000,http://images.amazon.com/images/P/089587198X.01.LZZZZZZZ.jpg,268,0.0
039914255X,Eat Right for Your Type,Peter J. D'Adamo,1996,http://images.amazon.com/images/P/039914255X.01.LZZZZZZZ.jpg,392,3.5700000000000003
1590171012,The Magic Pudding: Being the Adventures of Bunyip Bluegum and His Friends Bill Barnacle &amp; Sam Sawnoff (New York Review Children's Collection),Norman Lindsay,2004,http://images.amazon.com/images/P/1590171012.01.LZZZZZZZ.jpg,169,3.95
076790382X,I'm a Stranger Here Myself: Notes on Returning to America After 20 Years Away,Bill Bryson,2000,http://images.amazon.com/images/P/076790382X.01.LZZZZZZZ.jpg,304,3.9
